_id,username,email,password,role,__v,joined,status,updatedAt,phoneNumber,fullname,fullName,faculty,year,userId,createdAt,enrolledCourses[0],studentData.enrolledCourses[0],studentData.enrolledCourses[1],studentData.enrolledCourses[2],studentData.enrolledCourses[3],studentData.enrolledCourses[4],studentData.enrolledCourses[5],studentData.enrolledCourses[6],studentData.enrolledCourses[7],studentData.enrolledCourses[8],studentData.enrolledCourses[9],studentData.enrolledCourses[10],studentData.enrolledCourses[11],studentData.enrolledCourses[12],studentData.enrolledCourses[13],studentData.enrolledCourses[14],studentData.enrolledCourses[15],studentData.enrolledCourses[16],studentData.enrolledCourses[17],studentData.enrolledCourses[18],studentData.enrolledCourses[19],studentData.enrolledCourses[20],studentData.enrolledCourses[21],studentData.enrolledCourses[22],studentData.enrolledCourses[23],studentData.enrolledCourses[24],studentData.enrolledCourses[25],studentData.enrolledCourses[26],studentData.enrolledCourses[27],studentData.enrolledCourses[28],studentData.enrolledCourses[29],studentData.enrolledCourses[30],studentData.enrolledCourses[31],merchantName,merchantType,items[0].name,items[1].name,items[2].name,items[0].quantity,items[1].quantity,items[2].quantity,items[0].sold,items[1].sold,items[2].sold,items[0].costPrice,items[1].costPrice,items[2].costPrice,items[0].sellingPrice,items[1].sellingPrice,items[2].sellingPrice,items[0].category,items[1].category,items[2].category,items[0]._id,items[1]._id,items[2]._id,studentIDs[0]
67f05e7dafae221b88ff707a,Hossam,admin@example.com,$2b$10$yanlWudFlFh.Yp1TX0ENAORWINBi7yQ8R4zJY/yW5YSIpUqCMxdwC,admin,0,2025-04-10T11:09:49.528Z,active,2025-04-15T15:09:47.851Z,01098954754,Hossam Mohamed ,Admin Hossam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67fe8e03aea4c1351ed3a79a,Student,student@example.com,$2b$10$Rdv2ypSHFlNusXUEFvcgiODjtzD6O5JZM0IvRXe4Xj373vGKQJkWO,student,3,2025-04-15T16:49:07.206Z,active,2025-06-09T16:51:54.158Z,01098954754,,Ahmed Ali,Computer Science,2,S01,2025-04-15T16:49:07.214Z,CS01xx,CS323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ff68add57084e1345560f3,Teacher,teacher1@gmail.com,$2b$10$6HQOapVSgeWU/KNR1jbcT.heOcpsKd.5IBdbnOSNBiv4aJMXtP8JS,teacher,0,2025-04-16T08:22:05.583Z,active,2025-06-17T14:01:16.433Z,0105445444,,Teacher Hossam,,,T01,2025-04-16T08:22:05.596Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68209da66137550d44ac5c27,Merchant,sweet@example.com,$2b$10$jdJ//Ql0v6hWgQGp8R.7G.mrdEQR6.CSMUqJMuGGN9UkDfwgsMd/K,merchant,7,2025-05-11T12:52:54.529Z,active,2025-06-25T01:24:36.315Z,01041456214,,Sweet Mark,,,M01,2025-05-11T12:52:54.532Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SweetMarket,SuperMarket,CocaCola,Pepsi,RedBull,10,9,10,0,0,0,3,3,40,10,10,50,Drinks,Drinks,Drinks,685b1fd64a23697450a9b669,685b2e96047a9562d2ab6b24,685b3588ef238ad8c128155a,
6835bd2bda4987c4034ba7f5,Deanest,dean@gmail.com,$2b$10$LeS1pUz/X3vpxZBJZoF91.3tZG3YNGlogE4483lZ2BvPye/Et5.le,dean,0,2025-05-27T13:24:59.237Z,active,2025-05-27T13:24:59.240Z,01088954574,,Dean,Computer Science,,D01,2025-05-27T13:24:59.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6835bd74da4987c4034ba7fb,ViceDean,vdean@gmail.com,$2b$10$pQ8rKw5r6549fs.vfMEkSuGuKewnOuey.G7MGhwd.JOGQG5C2eIT6,vice_dean,0,2025-05-27T13:26:12.755Z,active,2025-05-27T13:26:12.756Z,010986547544,,VDean,Mass Communication,,V01,2025-05-27T13:26:12.756Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6835c1a1f661f1ab93c770ea,Parent,parent@example.com,$2b$10$qCM8LH8jPg.QB/KPvhLGiO8tr7QsO.r5dKI1RtuwpMmBguVdeJ/cK,parent,0,2025-05-27T13:44:01.844Z,active,2025-06-17T22:59:06.439Z,01098954754,,Parent,,,P01,2025-05-27T13:44:01.847Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S02
6835fafc0ab3e4ce7e72c976,Student2,student2@example.com,$2b$10$t/PqYBH94RaCE0IstBRMAeGhYnbMIt7znQqJqNlInZ0/ifXfzDQcW,student,1,2025-05-27T17:48:44.626Z,active,2025-06-25T00:55:36.763Z,01098954754,,Student2,Dentistry,4,S02,2025-05-27T17:48:44.629Z,,LAB101,TEST101,TEST1,TEST21,TEST211,TEST090,TEST90,TEST9,TEST91,TEST84,TEST844,TEST44,TEST144,TEST644,TEST044,TESTL44,Dent101,Dents101,Dentas101,Dentaas101,Dentaasa101,Dentamasa101,Dentafmasa101,Dentafmaasa101,Dentafmfagasa101,Dentafmfdagasa101,Dentafmffdagasa101,Dentaftmffdagasa101,testt3ban,testst3ban,testst23ban,NewToTest,,,,,,,,,,,,,,,,,,,,,,,,
6837909ea04907715c01a214,blocked,blocked@gmail.com,$2b$10$ZQxg2vzYkOeietnvTentbe6YStJn2B3bwYOvClSQkl5JVmTccGx1W,student,1,2025-05-28T22:39:26.102Z,blocked,2025-06-25T00:51:56.618Z,01041456214,,blockedb,Mass Communication,1,S03,2025-05-28T22:39:26.105Z,,CS301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684459152b0da3c57724fde3,testuser,testuser@example.com,$2b$10$wyx1nQDoUGrYHNivwWgi2ONoxowskHDUwsKCjxyegmTsl7o1M2oye,student,0,,active,2025-06-09T16:51:54.162Z,0123456789,,Test User,Engineering,2,S04,2025-06-07T15:21:57.318Z,,CS301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
